video_id,comment_text,like_count,Sentiment,SentimentScore
-rYdWF9Ky2U,ABSOLUTE CINEMA 🤌,0,,
-rYdWF9Ky2U,"ri demais, meu Deus",0,,
-rYdWF9Ky2U,Mano que quadro top ! Eu tô me acabando de rir 😂,0,,
-rYdWF9Ky2U,Aí como eu ri😂😂😂😂,0,,
-rYdWF9Ky2U,Esses cortes secos da edição são muito bons kkjkkk😂😂,1,,
-rYdWF9Ky2U,"ele fala muito rápido, mano",0,,
-rYdWF9Ky2U,Muito bommm😂😂😂,0,,
-rYdWF9Ky2U,"Man, vc gosta de dormir cedo, me quebrou demais",0,,
-rYdWF9Ky2U,Gostei do maisiss,0,,
-rYdWF9Ky2U,Que aleatório 😂😂😂😂,0,,
-rYdWF9Ky2U,1:03:57 oq e isso brino vou fala pra tua namorada ❤,0,,
-rYdWF9Ky2U,Muito engraçado esse ep,0,,
-rYdWF9Ky2U,Lucas inutilismo no próximo pod paquera,1,,
-rYdWF9Ky2U,"Rodrigo Faro 📉 ↘️

Podpaquera 📈 ↗️",0,,
-rYdWF9Ky2U,Nunca rir tanto,0,,
-rYdWF9Ky2U,esse é o melhor video q ja vi no youtube,0,,
-rYdWF9Ky2U,Eu ri TANTO ahahahahahahahah,0,,
-rYdWF9Ky2U,Finalmente! Manoel Gomes conseguiu um par pra dançar na festa junina,0,,
-rYdWF9Ky2U,😂😂😂😂😂😂😂,0,,
-rYdWF9Ky2U,Pod  Pha fzendo entretenimento  de qualidade,0,,
-rYdWF9Ky2U,"Mano, eu amo vcs.. literalmente 😂❤",0,,
-rYdWF9Ky2U,😂😂 Q vídeo 😂😂,0,,
-rYdWF9Ky2U,mds nunca ri tanto,0,,
-rYdWF9Ky2U,1 hora de puro entretenimento,0,,
-rYdWF9Ky2U,Um meme do início ao fim.😂😂,0,,
-rYdWF9Ky2U,😂😂❤,0,,
-rYdWF9Ky2U,7:58 Ele fez de novoo,0,,
-rYdWF9Ky2U,"episodio epico,tudo mundo muito resenha slk",0,,
-rYdWF9Ky2U,"Manoooo. Mto bom, dei mta risada, mto divertido. Bem melhor do que os adolescentes. Que D+",3,,
-rYdWF9Ky2U,😂😂😂😂 cria das roças monstro,0,,
-rYdWF9Ky2U,um otimo episodio mas que loucura é esse mano pqp parece q ele não entendeu nada do começo ao fim,0,,
-rYdWF9Ky2U,Eu escolheria a 7 ou a 8.,0,,
-rYdWF9Ky2U,KAKAKAKAKAKAKAKAKA,0,,
-rYdWF9Ky2U,Eu tô tremendo 😂😂,0,,
-rYdWF9Ky2U,Muito bom!!,0,,
-rYdWF9Ky2U,Vota em mim,0,,
-rYdWF9Ky2U,MEU DEUS  NUNCA RIR TANTO NA MINHA VIDA 😂😂😂😂😂😂😂,0,,
-rYdWF9Ky2U,Coloca legenda no Manuel pfv,1,,
-rYdWF9Ky2U,Esse foi melhor episódio pprt😂😂,2,,
-rYdWF9Ky2U,Toguro tanbem,0,,
-rYdWF9Ky2U,Que vídeo bom mano kakakakaka,0,,
-rYdWF9Ky2U,"😂 você quer ir lá no expediente ou fora do expediente ? 😂
Oi ?",0,,
-rYdWF9Ky2U,úlio balestrin,0,,
-rYdWF9Ky2U,"0vai se fuede moianmepo gomes
olah quem tu escolhe pra timbro d
sdjbsadka ,ksd",0,,
-rYdWF9Ky2U,eu gosto de carinho carinho gostosinhuu,0,,
-rYdWF9Ky2U,"esse ep com mulheres maduras ficou muito mais legal e descontraído!! deveriam investir, trazer homens e mulheres +30",21,,
-rYdWF9Ky2U,Grande momento do entretenimento brasileiro,0,,
-rYdWF9Ky2U,Realmente Mulher tem cantadas melhores que as dos Homens  Mete BALA no MANOEL,1,,
-rYdWF9Ky2U,Ele e um fpd😂,0,,
-rYdWF9Ky2U,"esse é o melhor vídeo da internet, eu passei 1h rindoKKKKKKKKKKK QUE VÍDEO RESENHA",2,,
-rYdWF9Ky2U,"Bom dms, pqp 😂",0,,
-rYdWF9Ky2U,Melhor vídeo do ano,0,,
-rYdWF9Ky2U,ANDRÉ VILÃO,0,,
-rYdWF9Ky2U,"ele faz qualquer louco parecer lúcido, incrível…",0,,
-rYdWF9Ky2U,eu amo vocês,0,,
-rYdWF9Ky2U,Vídeo bom da pooooooooorra! Ksksksks,0,,
-rYdWF9Ky2U,Lkkkkkkkkkkkkk,0,,
-rYdWF9Ky2U,"amei thaizoca, maumau e brino juntos",2,,
-rYdWF9Ky2U,Doideira,0,,
-rYdWF9Ky2U,é gato miando? lkkkkkkkkk,0,,
