video_id,comment_text,like_count
Xu_LTnFCFhA,Esse Maumau 🤣🤣🤣🤣,0
Xu_LTnFCFhA,VOLTA YAHUSHA 💪🏽✝️,0
Xu_LTnFCFhA,satisfação familiaaa,0
Xu_LTnFCFhA,Lilo desenrolou muuuuuito com a sogra que isso 🍷🗿,1
Xu_LTnFCFhA,me recuso acreditar que essa mulher não seja um personagem,5
Xu_LTnFCFhA,video começa em 4:34 vlw eh nois,1
Xu_LTnFCFhA,"Apesar disso, obrigada Deus pela minha audição e pela minha ignorância nesse tema.",2
Xu_LTnFCFhA,Que doído assistir isso!!!,2
Xu_LTnFCFhA,Não sobro 1 Mandrake no final,0
Xu_LTnFCFhA,*satisfação máxima familia.* 🤍,12
Xu_LTnFCFhA,Salve mano,0
Xu_LTnFCFhA,Maumau ficou puto com a tiazinha 😂😂😂😂,1
Xu_LTnFCFhA,5 min 03s,0
Xu_LTnFCFhA,Vim pelo Lilo,2
Xu_LTnFCFhA,todo mundo aí me irritou,1
Xu_LTnFCFhA,Da para ver que essas minas assim não vale nada 👌,0
Xu_LTnFCFhA,Loucuras Loucuras 😂,0
Xu_LTnFCFhA,Que prr de dança com guarda chuva é essa?,1
Xu_LTnFCFhA,meus olhos sangrou vendo isso pqp,24
Xu_LTnFCFhA,"Ahhhhh, a fauna brasileira é tão rica... 😂",25
Xu_LTnFCFhA,Sério q se dança c guarda chuva ? 😅😂😂 q coisa mais esquisita 😮,4
Xu_LTnFCFhA,Essa mina deve ser atriz,0
Xu_LTnFCFhA,"Lucas é pika tocando esse bglh em, brabo.",1
Xu_LTnFCFhA,Já agradeceu por não ser paulista?,36
Xu_LTnFCFhA,"É, não tem como todo programa ser bom, esse foi cansado dms",27
Xu_LTnFCFhA,Nao entendi pq dancar com guarda chuvas,3
Xu_LTnFCFhA,Proibido se vestir bem,73
Xu_LTnFCFhA,Shinelilo desenrolou muito com a sogra 🤣🤣,5
Xu_LTnFCFhA,Lilo é muito breck.🥷,8
Xu_LTnFCFhA,Snoop no Style,0
Xu_LTnFCFhA,🫡,0
Xu_LTnFCFhA,Começa 4:34,13
Xu_LTnFCFhA,salve salve vitinho mlk bom 📈,0
Xu_LTnFCFhA,1•,0
-rYdWF9Ky2U,Mais eu vou fechar os olho 😅😅,0
-rYdWF9Ky2U,ABSOLUTE CINEMA 🤌,0
-rYdWF9Ky2U,"ri demais, meu Deus",0
-rYdWF9Ky2U,Mano que quadro top ! Eu tô me acabando de rir 😂,0
-rYdWF9Ky2U,Aí como eu ri😂😂😂😂,0
-rYdWF9Ky2U,Esses cortes secos da edição são muito bons kkjkkk😂😂,1
-rYdWF9Ky2U,"ele fala muito rápido, mano",0
-rYdWF9Ky2U,Muito bommm😂😂😂,0
-rYdWF9Ky2U,"Man, vc gosta de dormir cedo, me quebrou demais",0
-rYdWF9Ky2U,Gostei do maisiss,0
-rYdWF9Ky2U,Que aleatório 😂😂😂😂,0
-rYdWF9Ky2U,1:03:57 oq e isso brino vou fala pra tua namorada ❤,0
-rYdWF9Ky2U,Muito engraçado esse ep,0
-rYdWF9Ky2U,Lucas inutilismo no próximo pod paquera,1
-rYdWF9Ky2U,"Rodrigo Faro 📉 ↘️

Podpaquera 📈 ↗️",0
-rYdWF9Ky2U,Nunca rir tanto,0
-rYdWF9Ky2U,esse é o melhor video q ja vi no youtube,0
-rYdWF9Ky2U,Eu ri TANTO ahahahahahahahah,0
-rYdWF9Ky2U,Finalmente! Manoel Gomes conseguiu um par pra dançar na festa junina,0
-rYdWF9Ky2U,😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,Pod  Pha fzendo entretenimento  de qualidade,0
-rYdWF9Ky2U,"Mano, eu amo vcs.. literalmente 😂❤",0
