playlist_title,video_id,title,views,likes,comments,published_at,duration
PODPAQUERA,-rYdWF9Ky2U,"10 MULHERES vs MANOEL GOMES ft. BRINO, MAUMAU & THAIZOCA",1047218,60565,1040,2024-11-17T23:30:50Z,PT1H15M46S
PODPAQUERA,Ek4hPjbv0zY,5 MULHERES + 5 HOMENS vs SOFIA SANTINO ft. DOARDA E CICLOPIN,1959079,139760,811,2024-11-03T22:56:48Z,PT52M55S
PODPAQUERA,lE2JZYBnQUA,"10 MULHERES vs MC TUTO ft. MC JOÃOZINHO VT, MAUMAU, THAIZOCA & MITICO",1791359,87130,499,2024-10-20T23:26:19Z,PT54M35S
PODPAQUERA,w_eWmUgqHLU,"10 MULHERES vs MITICO ft. BRINO, MAUMAU & THAIZOCA",3136043,202871,1896,2024-09-28T02:40:44Z,PT1H34M25S
PODPAH EM PARIS,ptFxlxNo51M,ENTREVISTA COM ISAQUIAS QUEIROZ & DEFANTE NA MASSAGEM - PODPAH EM PARIS #18,461234,14792,18,2024-08-11T23:27:54Z,PT1H22M31S
PODPAH EM PARIS,bWkDetzVinI,MOSTRANDO TUDO DA DISNEY DE PARIS - PODPAH EM PARIS #17,455639,14587,17,2024-08-10T23:18:36Z,PT1H3S
PODPAH EM PARIS,Tkr-Rvmctkw,TODA A REPERCUSSÃO DO OURO NO VÔLEI DE PRAIA - PODPAH EM PARIS #16,490693,18792,9,2024-08-09T23:17:27Z,PT1H3M35S
PODPAH EM PARIS,YnoO6CICA0k,ENTREVISTA EXCLUSIVA COM HUGO CALDERANO - PODPAH EM PARIS #15,436608,13916,63,2024-08-08T23:32:31Z,PT1H18M23S
PODPAH EM PARIS,EqoaLqM11RY,TODO MUNDO AMA A FLAVINHA - PODPAH EM PARIS #14,713856,28750,155,2024-08-07T23:37:39Z,PT1H27M19S
PODPAH EM PARIS,AwNWJERUzN4,O FUTEBOL FEMININO ESTÁ NA FINAL DA OLIMPÍADA - PODPAH EM PARIS #13,422957,15126,34,2024-08-06T23:19:52Z,PT1H17M16S
PODPAH EM PARIS,523DAGXyJtM,BIA SOUZA FALA SOBRE OURO OLÍMPICO - PODPAH EM PARIS #12,450751,13830,75,2024-08-05T23:23:50Z,PT1H11M
PODPAH EM PARIS,RJ85-6sRzTk,PULAMOS CORDA NA RUA E AULA DE JUDÔ AO VIVO COM MEDALISTA ft. LEO GONÇALVES - PODPAH EM PARIS #11,433860,17375,10,2024-08-04T23:20:25Z,PT1H10M31S
PODPAH EM PARIS,o2tdr5TIa-Q,FUTEBOL FEMININO BRILHANDO + REBECA ANDRADE RAINHA - PODPAH EM PARIS #10,456215,19364,22,2024-08-03T23:10:46Z,PT1H2M33S
PODPAH EM PARIS,B4qE65p0igQ,TODOS OS DETALHES DO PRIMEIRO OURO DO BRASIL EM PARIS - PODPAH EM PARIS #09,450671,17076,29,2024-08-02T23:11:40Z,PT1H1M3S
PODPAH EM PARIS,nN6Dg0Mcifs,JORGINHO É ABSURDO NO SKATE TAMBÉM - PODPAH EM PARIS #08,572232,9686,23,2024-08-01T23:22:55Z,PT1H7M31S
PODPAH EM PARIS,ab4FLsVP_ps,QUAL PAÍS TEM O MELHOR FUTEBOL? - PODPAH EM PARIS #07,449501,14181,14,2024-07-31T23:09:33Z,PT1H47S
