playlist_title,video_id,title,views,likes,comments,published_at,duration,thumbnail
PODPAQUERA,Xu_LTnFCFhA,"1 MANDRAKA vs. 10 MANDRAKES ft. BRINO, MAUMAU & THAIZOCA",166943,9929,113,2024-12-08T23:09:26Z,PT1H3M30S,https://i.ytimg.com/vi/Xu_LTnFCFhA/hqdefault.jpg
PODPAQUERA,-rYdWF9Ky2U,"10 MULHERES vs MANOEL GOMES ft. BRINO, MAUMAU & THAIZOCA",1062298,61038,1044,2024-11-17T23:30:50Z,PT1H15M46S,https://i.ytimg.com/vi/-rYdWF9Ky2U/hqdefault.jpg
PODPAQUERA,Ek4hPjbv0zY,5 MULHERES + 5 HOMENS vs SOFIA SANTINO ft. DOARDA E CICLOPIN,1970713,140285,813,2024-11-03T22:56:48Z,PT52M55S,https://i.ytimg.com/vi/Ek4hPjbv0zY/hqdefault.jpg
PODPAQUERA,lE2JZYBnQUA,"10 MULHERES vs MC TUTO ft. MC JOÃOZINHO VT, MAUMAU, THAIZOCA & MITICO",1805552,87585,499,2024-10-20T23:26:19Z,PT54M35S,https://i.ytimg.com/vi/lE2JZYBnQUA/hqdefault.jpg
PODPAQUERA,w_eWmUgqHLU,"10 MULHERES vs MITICO ft. BRINO, MAUMAU & THAIZOCA",3144878,203185,1898,2024-09-28T02:40:44Z,PT1H34M25S,https://i.ytimg.com/vi/w_eWmUgqHLU/hqdefault.jpg
PODPAH EM PARIS,ptFxlxNo51M,ENTREVISTA COM ISAQUIAS QUEIROZ & DEFANTE NA MASSAGEM - PODPAH EM PARIS #18,461244,14792,18,2024-08-11T23:27:54Z,PT1H22M31S,https://i.ytimg.com/vi/ptFxlxNo51M/hqdefault.jpg
PODPAH EM PARIS,bWkDetzVinI,MOSTRANDO TUDO DA DISNEY DE PARIS - PODPAH EM PARIS #17,455676,14590,17,2024-08-10T23:18:36Z,PT1H3S,https://i.ytimg.com/vi/bWkDetzVinI/hqdefault.jpg
PODPAH EM PARIS,Tkr-Rvmctkw,TODA A REPERCUSSÃO DO OURO NO VÔLEI DE PRAIA - PODPAH EM PARIS #16,490697,18793,9,2024-08-09T23:17:27Z,PT1H3M35S,https://i.ytimg.com/vi/Tkr-Rvmctkw/hqdefault.jpg
PODPAH EM PARIS,YnoO6CICA0k,ENTREVISTA EXCLUSIVA COM HUGO CALDERANO - PODPAH EM PARIS #15,436612,13916,63,2024-08-08T23:32:31Z,PT1H18M23S,https://i.ytimg.com/vi/YnoO6CICA0k/hqdefault.jpg
PODPAH EM PARIS,EqoaLqM11RY,TODO MUNDO AMA A FLAVINHA - PODPAH EM PARIS #14,713880,28751,155,2024-08-07T23:37:39Z,PT1H27M19S,https://i.ytimg.com/vi/EqoaLqM11RY/hqdefault.jpg
